TOKEN TYPE      LEXEME               LINE      
-----------------------------------------------------
KEYWORD         int                  1         
IDENTIFIER      main                 1         
PUNCTUATION     (                    1         
PUNCTUATION     )                    1         
PUNCTUATION     {                    1         
KEYWORD         int                  2         
IDENTIFIER      x                    2         
OPERATOR        =                    2         
NUMBER          5                    2         
PUNCTUATION     ;                    2         
KEYWORD         int                  3         
IDENTIFIER      y                    3         
OPERATOR        =                    3         
NUMBER          10                   3         
PUNCTUATION     ;                    3         
KEYWORD         int                  4         
IDENTIFIER      z                    4         
OPERATOR        =                    4         
IDENTIFIER      x                    4         
OPERATOR        +                    4         
IDENTIFIER      y                    4         
OPERATOR        *                    4         
NUMBER          2                    4         
PUNCTUATION     ;                    4         
KEYWORD         if                   6         
PUNCTUATION     (                    6         
IDENTIFIER      z                    6         
OPERATOR        >                    6         
NUMBER          20                   6         
PUNCTUATION     )                    6         
PUNCTUATION     {                    6         
IDENTIFIER      z                    7         
OPERATOR        =                    7         
IDENTIFIER      z                    7         
OPERATOR        -                    7         
NUMBER          5                    7         
PUNCTUATION     ;                    7         
PUNCTUATION     }                    8         
KEYWORD         else                 8         
PUNCTUATION     {                    8         
IDENTIFIER      z                    9         
OPERATOR        =                    9         
IDENTIFIER      z                    9         
OPERATOR        +                    9         
NUMBER          5                    9         
PUNCTUATION     ;                    9         
PUNCTUATION     }                    10        
KEYWORD         return               12        
IDENTIFIER      z                    12        
PUNCTUATION     ;                    12        
PUNCTUATION     }                    13        
